team,event,course,gender,age_group,time,swimmer,date,meet,year,rank
COLM,50 M Freestyle,SCM,W,25-29,38.04,Veronica L McCumber,,South Carolina SCM Championships,2016,1
COLM,100 M Freestyle,SCM,W,25-29,1:27.70,Veronica L McCumber,,South Carolina SCM Championships,2016,1
COLM,200 M Freestyle,SCM,W,25-29,3:13.32,Veronica L McCumber,,South Carolina SCM Championships,2016,1
COLM,400 M Freestyle,SCM,W,25-29,6:44.09,Veronica L McCumber,,South Carolina SCM Championships,2016,1
COLM,100 M Backstroke,SCM,W,25-29,1:38.01,Veronica L McCumber,,South Carolina SCM Championships,2016,1
COLM,200 M Backstroke,SCM,W,25-29,3:29.68,Veronica L McCumber,,South Carolina SCM Championships,2016,1
COLM,100 M Individual Medley,SCM,W,25-29,1:45.08,Veronica L McCumber,,South Carolina SCM Championships,2016,1
COLM,50 M Freestyle,SCM,M,30-34,28.67,Christopher J Dahlberg,,South Carolina SCM Championships,2016,1
COLM,100 M Freestyle,SCM,M,30-34,1:03.14,Christopher J Dahlberg,,South Carolina SCM Championships,2016,1
COLM,50 M Backstroke,SCM,M,30-34,35.13,Christopher J Dahlberg,,South Carolina SCM Championships,2016,1
COLM,100 M Backstroke,SCM,M,30-34,1:14.62,Christopher J Dahlberg,,South Carolina SCM Championships,2016,1
COLM,50 M Breaststroke,SCM,M,30-34,39.17,Christopher J Dahlberg,,South Carolina SCM Championships,2016,1
COLM,50 M Butterfly,SCM,M,30-34,30.96,Christopher J Dahlberg,,South Carolina SCM Championships,2016,1
COLM,100 M Butterfly,SCM,M,30-34,1:13.16,Christopher J Dahlberg,,South Carolina SCM Championships,2016,1
COLM,100 M Individual Medley,SCM,M,30-34,1:13.12,Christopher J Dahlberg,,South Carolina SCM Championships,2016,1
COLM,200 M Individual Medley,SCM,M,30-34,2:41.15,Christopher J Dahlberg,,South Carolina SCM Championships,2016,1
COLM,400 M Individual Medley,SCM,M,30-34,5:57.42,Christopher J Dahlberg,,South Carolina SCM Championships,2016,1
COLM,200 M Freestyle,SCM,M,40-44,2:59.72,Robert Mathews,,South Carolina SCM Championships,2016,1
COLM,100 M Backstroke,SCM,M,40-44,1:42.37,Robert Mathews,,South Carolina SCM Championships,2016,1
COLM,50 M Butterfly,SCM,M,40-44,40.13,Robert Mathews,,South Carolina SCM Championships,2016,1
COLM,100 M Individual Medley,SCM,M,40-44,1:37.68,Robert Mathews,,South Carolina SCM Championships,2016,1
COLM,50 M Freestyle,SCM,M,50-54,29.69,Michael O Wendt,,South Carolina SCM Championships,2016,1
COLM,100 M Freestyle,SCM,M,50-54,1:06.47,Michael O Wendt,,South Carolina SCM Championships,2016,1
COLM,200 M Freestyle,SCM,M,50-54,2:28.23,Michael O Wendt,,South Carolina SCM Championships,2016,1
COLM,400 M Freestyle,SCM,M,50-54,5:13.87,Michael O Wendt,,South Carolina SCM Championships,2016,1
COLM,1500 M Freestyle,SCM,M,50-54,19:54.52,Michael O Wendt,,South Carolina SCM Championships,2016,1
COLM,100 M Backstroke,SCM,M,50-54,1:17.88,Michael O Wendt,,South Carolina SCM Championships,2016,1
COLM,100 M Backstroke,SCM,M,50-54,1:41.88,William M Rambo,,South Carolina SCM Championships,2016,2
COLM,50 M Breaststroke,SCM,M,50-54,44.25,William M Rambo,,South Carolina SCM Championships,2016,1
COLM,200 M Breaststroke,SCM,M,50-54,3:45.35,William M Rambo,,South Carolina SCM Championships,2016,1
COLM,50 M Butterfly,SCM,M,50-54,31.74,Michael O Wendt,,South Carolina SCM Championships,2016,1
COLM,100 M Butterfly,SCM,M,50-54,1:18.00,Michael O Wendt,,South Carolina SCM Championships,2016,1
COLM,200 M Butterfly,SCM,M,50-54,3:04.42,Michael O Wendt,,South Carolina SCM Championships,2016,1
COLM,400 M Individual Medley,SCM,M,50-54,5:52.81,Michael O Wendt,,South Carolina SCM Championships,2016,1
COLM,50 M Freestyle,SCM,M,55-59,34.50,Mark S Barrow,,South Carolina SCM Championships,2016,1
COLM,100 M Backstroke,SCM,M,60-64,1:39.24,Richard S McCain,,South Carolina SCM Championships,2016,1
COLM,50 M Breaststroke,SCM,M,60-64,44.97,Richard S McCain,,South Carolina SCM Championships,2016,1
COLM,200 M Breaststroke,SCM,M,60-64,3:41.85,Richard S McCain,,South Carolina SCM Championships,2016,1
COLM,100 M Individual Medley,SCM,M,60-64,1:36.18,Richard S McCain,,South Carolina SCM Championships,2016,1
COLM,100 M Freestyle,SCM,M,70-74,1:13.55,Robert M Poiletman,,South Carolina SCM Championships,2016,1
COLM,100 M Backstroke,SCM,M,70-74,1:29.74,Robert M Poiletman,,South Carolina SCM Championships,2016,1
COLM,100 M Breaststroke,SCM,M,70-74,1:35.31,Robert M Poiletman,,South Carolina SCM Championships,2016,1
COLM,50 M Butterfly,SCM,M,70-74,33.89,Robert M Poiletman,,South Carolina SCM Championships,2016,1
COLM,100 M Butterfly,SCM,M,70-74,1:15.68,Robert M Poiletman,,South Carolina SCM Championships,2016,1
COLM,200 M Butterfly,SCM,M,70-74,3:20.05,Robert M Poiletman,,South Carolina SCM Championships,2016,1
COLM,200 M Individual Medley,SCM,M,70-74,3:10.23,Robert M Poiletman,,South Carolina SCM Championships,2016,1
