team,event,course,gender,age_group,time,swimmer,date,meet,year,rank
COLM,200 M Freestyle,SCM,M,45-49,3:01.89,Robert Mathews,,South Carolina SCM Championships,2017,1
COLM,100 M Backstroke,SCM,M,45-49,1:42.68,Robert Mathews,,South Carolina SCM Championships,2017,1
COLM,50 M Butterfly,SCM,M,45-49,39.35,Robert Mathews,,South Carolina SCM Championships,2017,1
COLM,100 M Individual Medley,SCM,M,45-49,1:37.16,Robert Mathews,,South Carolina SCM Championships,2017,1
COLM,50 M Freestyle,SCM,M,55-59,30.13,Michael O Wendt,,South Carolina SCM Championships,2017,1
COLM,100 M Freestyle,SCM,M,55-59,1:08.09,Michael O Wendt,,South Carolina SCM Championships,2017,1
COLM,1500 M Freestyle,SCM,M,55-59,20:23.33,Michael O Wendt,,South Carolina SCM Championships,2017,1
COLM,50 M Backstroke,SCM,M,55-59,35.33,Michael O Wendt,,South Carolina SCM Championships,2017,1
COLM,100 M Backstroke,SCM,M,55-59,1:18.05,Michael O Wendt,,South Carolina SCM Championships,2017,1
COLM,50 M Butterfly,SCM,M,55-59,31.38,Michael O Wendt,,South Carolina SCM Championships,2017,1
COLM,100 M Butterfly,SCM,M,55-59,1:13.61,Michael O Wendt,,South Carolina SCM Championships,2017,1
COLM,200 M Butterfly,SCM,M,55-59,3:06.41,Michael O Wendt,,South Carolina SCM Championships,2017,1
COLM,100 M Individual Medley,SCM,M,55-59,1:18.12,Michael O Wendt,,South Carolina SCM Championships,2017,1
COLM,200 M Individual Medley,SCM,M,55-59,2:56.73,Michael O Wendt,,South Carolina SCM Championships,2017,1
